Data;icc_exp_sa;icc_exp;icc_sp_sa;icc_sp;ici_exp_sa;iie
01/01/2000; - ; - ; - ; - ; - ;85,8
01/02/2000; - ; - ; - ; - ; - ;86,1
01/03/2000; - ; - ; - ; - ; - ;85
01/04/2000; - ; - ; - ; - ; - ;86,3
01/05/2000; - ; - ; - ; - ; - ;85,1
01/06/2000; - ; - ; - ; - ; - ;88,2
01/07/2000; - ; - ; - ; - ; - ;85,8
01/08/2000; - ; - ; - ; - ; - ;86,5
01/09/2000; - ; - ; - ; - ; - ;86,6
01/10/2000; - ; - ; - ; - ; - ;85,8
01/11/2000; - ; - ; - ; - ; - ;86
01/12/2000; - ; - ; - ; - ; - ;83,6
01/01/2001; - ; - ; - ; - ;104,5;88,1
01/02/2001; - ; - ; - ; - ;105,2;86,2
01/03/2001; - ; - ; - ; - ;105,7;86,6
01/04/2001; - ; - ; - ; - ;106,6;89,5
01/05/2001; - ; - ; - ; - ;99,3;90
01/06/2001; - ; - ; - ; - ;94;102,4
01/07/2001; - ; - ; - ; - ;89,3;99,2
01/08/2001; - ; - ; - ; - ;89,1;89,5
01/09/2001; - ; - ; - ; - ;88,7;103
01/10/2001; - ; - ; - ; - ;87,2;104,1
01/11/2001; - ; - ; - ; - ;88,7;93
01/12/2001; - ; - ; - ; - ;94,9;105,4
01/01/2002; - ; - ; - ; - ;102,3;111,4
01/02/2002; - ; - ; - ; - ;103,3;94,4
01/03/2002; - ; - ; - ; - ;104,2;103
01/04/2002; - ; - ; - ; - ;105,7;95
01/05/2002; - ; - ; - ; - ;102,1;104,5
01/06/2002; - ; - ; - ; - ;100,2;103,8
01/07/2002; - ; - ; - ; - ;98,1;107,8
01/08/2002; - ; - ; - ; - ;96,9;126,3
01/09/2002; - ; - ; - ; - ;96,2;118,3
01/10/2002; - ; - ; - ; - ;95,2;132,1
01/11/2002; - ; - ; - ; - ;95,7;127,7
01/12/2002; - ; - ; - ; - ;98,6;125
01/01/2003; - ; - ; - ; - ;101,6;118,4
01/02/2003; - ; - ; - ; - ;100,7;112,4
01/03/2003; - ; - ; - ; - ;100,1;108,8
01/04/2003; - ; - ; - ; - ;100;98,9
01/05/2003; - ; - ; - ; - ;95,3;113,6
01/06/2003; - ; - ; - ; - ;92,6;103,6
01/07/2003; - ; - ; - ; - ;90;111,4
01/08/2003; - ; - ; - ; - ;94,9;105,9
01/09/2003; - ; - ; - ; - ;100,3;94,5
01/10/2003; - ; - ; - ; - ;105,4;98,6
01/11/2003; - ; - ; - ; - ;105,8;96,9
01/12/2003; - ; - ; - ; - ;108,1;92,8
01/01/2004; - ; - ; - ; - ;110,1;94,5
01/02/2004; - ; - ; - ; - ;108,7;90
01/03/2004; - ; - ; - ; - ;107,9;98,2
01/04/2004; - ; - ; - ; - ;107,3;101,9
01/05/2004; - ; - ; - ; - ;108,8;94,7
01/06/2004; - ; - ; - ; - ;111,2;93,6
01/07/2004; - ; - ; - ; - ;112,8;94,6
01/08/2004; - ; - ; - ; - ;111,8;91,8
01/09/2004; - ; - ; - ; - ;111,3;93,6
01/10/2004; - ; - ; - ; - ;110,1;89,5
01/11/2004; - ; - ; - ; - ;108,1;91,9
01/12/2004; - ; - ; - ; - ;107,8;89,8
01/01/2005; - ; - ; - ; - ;107,4;93,1
01/02/2005; - ; - ; - ; - ;107,2;90,8
01/03/2005; - ; - ; - ; - ;107;91,4
01/04/2005; - ; - ; - ; - ;106,8;98,3
01/05/2005; - ; - ; - ; - ;102,9;99,6
01/06/2005; - ; - ; - ; - ;100,4;100,4
01/07/2005; - ; - ; - ; - ;98;99,8
01/08/2005; - ; - ; - ; - ;97;99,3
01/09/2005;88,7;89,4;85,7;85,2;96,3;95,4
01/10/2005;92,7;97,3;85,8;85,9;94,6;92,3
01/11/2005;91,2;95,6;85,2;85,2;94;97,4
01/12/2005;91,7;94,6;86,1;89,6;99,2;89,4
01/01/2006;101;103,8;88,7;92,4;99,5;93,4
01/02/2006;100,2;101,1;87,6;88,4;100,6;89
01/03/2006;96,2;97,2;89,2;89,9;101,8;92,3
01/04/2006;94,3;93,8;87,8;86,5;103,5;90,1
01/05/2006;93,6;91,6;86,7;85,9;102,2;98
01/06/2006;92,3;89,8;87,6;86,3;102,2;94,1
01/07/2006;92,1;90,3;89,1;88,3;103,6;93,5
01/08/2006;95,2;93,7;86;85,2;100,5;94
01/09/2006;94,8;94,3;86,1;85,6;101,6;96,4
01/10/2006;98,9;102,3;88,4;88,3;100;98,5
01/11/2006;102,6;106,3;87,3;87,4;101,4;91,7
01/12/2006;105,7;108,9;87,4;90,8;104,7;97,7
01/01/2007;108,5;110,5;86,4;90,2;105;91,8
01/02/2007;109,3;109,2;87,7;88,5;106,7;97
01/03/2007;103,5;104,4;84,4;85,2;109,2;91,5
01/04/2007;100,2;98,4;88,2;86,8;110,1;95,5
01/05/2007;104,9;102,4;88,3;87,3;109,1;96,8
01/06/2007;106;103;89;87,7;109,9;89,3
01/07/2007;102,3;99,7;89,8;88,8;111;88,4
01/08/2007;103,7;101,2;90,5;89,7;110,9;96,2
01/09/2007;106,2;105,3;87,7;87,3;110,7;96,2
01/10/2007;109,7;112,1;88,3;88,3;109,4;97,2
01/11/2007;110,4;113,4;90;89,9;110,7;96,3
01/12/2007;119;121,2;94,7;98;109,9;92,1
01/01/2008;112,6;113,5;93,4;97,1;109,9;99,3
01/02/2008;115,8;114,2;93,1;93,7;110,9;98
01/03/2008;118,6;118,7;97,5;98,1;110,3;97,4
01/04/2008;108;105,1;94,9;93,4;109,6;95,1
01/05/2008;110,2;107,5;96,8;95,6;110,4;92,3
01/06/2008;100,9;97,5;94,1;92,6;113,4;91,9
01/07/2008;96,7;94,3;88,6;87,7;110,5;92,4
01/08/2008;99,8;98,8;93;92,1;113,5;90,5
01/09/2008;101,7;100,9;98,1;97,5;110;98,7
